time_s,current_a,voltage_v,soc
0.0,2.8808963496930393,3.1488089634969305,0.1
1.0,1.2000198671993805,3.1338077483475173,0.10032009959441035
2.0,3.4380639947580716,3.156907684977772,0.10045343513521028
3.0,3.6757058954890174,3.16139477494022,0.10083544224573895
4.0,0.06120601418270466,3.127470896359433,0.1012438540119044
5.0,0.8722756164221024,3.135494501408612,0.10125065468014692
6.0,2.6598005039591066,3.1537941838615415,0.10134757419308271
7.0,2.104696759570522,3.149782274473953,0.1016431075824115
8.0,2.478998553119639,3.1546887278578093,0.10187696277791934
9.0,1.433695090533025,3.1456137403774425,0.1021524070615993
10.0,3.5992474685785356,3.167967420269526,0.10231170651610297
11.0,3.4722399192861855,3.168742953151091,0.10271162290150058
12.0,2.5825383719515203,3.1617757562209006,0.10309742733697683
13.0,3.909051508710041,3.1763788166750513,0.10338437604497144
14.0,3.084386677815057,3.1702799379076554,0.10381871510149478
15.0,1.4258844213959523,3.1552880230087417,0.10416142473236312
16.0,2.9609384801031235,3.1711643969327565,0.10431985633474045
17.0,1.3013967489637515,3.1560512112022803,0.10464884949919635
18.0,3.5980628766340907,3.1794344916663086,0.1047934491379701
19.0,2.437592611267184,3.169682925690318,0.10519323390204056
20.0,2.2689220455684245,3.169090240476759,0.10546407752551469
21.0,1.6488380694950733,3.1638608734290816,0.10571617997502229
22.0,4.0281766733425375,3.188222353003604,0.1058993842049662
23.0,2.3068381474139974,3.1730631690958027,0.10634695939089314
24.0,1.964590222296116,3.1705806916984973,0.10660327474060581
25.0,2.059833061889713,3.1722450793888224,0.10682156254308316
26.0,3.165386481941686,3.18406334259076,0.10705043288329312
27.0,2.956805080455098,3.1834240497476602,0.10740214249239775
28.0,3.015915764494985,3.1853083746535074,0.1077306763902261
29.0,3.038526253759853,3.186845362955031,0.10806577814183665
30.0,5.177059501088077,3.2095361675507594,0.1084033921700322
31.0,1.9919812295192305,3.180313283417166,0.10897862100348643
32.0,1.8596965886605783,3.179576282408771,0.10919995225121079
33.0,1.4827840896901527,3.1763044668658913,0.1094065852055064
34.0,3.2699742782193697,3.1944333295324405,0.10957133899324975
35.0,3.9112153659011146,3.2022246341403124,0.10993466946860746
36.0,2.3575656779314063,3.18844920208101,0.11036924895370757
37.0,1.4498044037968398,3.1801307814861355,0.11063120069569995
38.0,1.4693984803859506,3.1805080297961883,0.11079229007389961
39.0,3.3132409847808764,3.1991424701904094,0.11095555657172027
40.0,3.4290677140043027,3.2016557396256955,0.11132369445891814
